exit_status,runid,read_id,filename,barcode,accuracy,identity,model,name,start,end,coverage,URL,categories,seq_id,seq_len,taxon,taxon_id,cluster_id
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,aa9a1b23-f738-4672-98b5-726721f67810,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,95.42,99.52,protein homolog model,msrE,2,434,44.259,https://card.mcmaster.ca/ontology/39685,efflux pump conferring antibiotic resistance,1157,1477,Escherichia coli,562,162
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,f1315a73-80aa-48a9-a8f0-ec3fa0a7713b,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,88,94.96,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin,0,148,9.598,https://card.mcmaster.ca/ontology/39956,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2324,1542,Escherichia coli K-12,83333,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,ecaeb343-1046-48eb-b88a-4cd8e6c4c627,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,89.5,94.43,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,03467502-54fc-4171-8a75-75baded1c7f9,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,94.69,98.5,protein homolog model,CTX-M-15,0,877,100,https://card.mcmaster.ca/ontology/38278,beta-lactam resistance gene. antibiotic inactivation enzyme,338,877,Escherichia coli,562,461
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,f3138215-c706-4603-946e-e6f7f98012c5,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,93.53,95.18,protein homolog model,vgaC,0,231,100,https://card.mcmaster.ca/ontology/39265,efflux pump conferring antibiotic resistance,2151,231,Enterobacter cloacae,550,852
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,b92a5f24-5084-4715-8927-4589d9be6198,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,92.56,95.4,protein variant model,Escherichia coli rpoB mutants conferring resistance to rifampicin,1364,1696,75,https://card.mcmaster.ca/ontology/39872,antibiotic resistant gene variant or mutant. rifampin resistance gene,2261,4030,Escherichia coli O157:H7 str. Sakai,386585,2
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,1c98835f-1b32-4758-8ebb-b979dd5dc361,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,81.3,85.51,protein variant model,Salmonella enterica parC conferring resistance to fluoroquinolones,121,2259,94.644,https://card.mcmaster.ca/ontology/40662,fluoroquinolone resistance gene. antibiotic resistant gene variant or mutant,2248,2259,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,73
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,ae719b4c-2243-498c-8527-faf00c011a3e,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,92.22,96.25,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsC gene conferring resistance to kasugamicin,1286,1451,64.542,https://card.mcmaster.ca/ontology/39917,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2335,1542,Escherichia coli K-12,83333,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,7d50700f-d29a-4ea7-875d-61f6c6b433f6,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,79.81,84.12,protein homolog model,emrB,0,1540,100,https://card.mcmaster.ca/ontology/36213,efflux pump conferring antibiotic resistance,1173,1540,Escherichia coli str. K-12 substr. MG1655,511145,143
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,0a1a865c-1709-4071-8bbd-9f81ad11af2f,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,89.31,95.18,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,d873e26e-02ad-4da4-b15f-953b5bab2a00,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,92.11,96.4,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin,0,1542,100,https://card.mcmaster.ca/ontology/39956,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2324,1542,Escherichia coli K-12,83333,141
